10.6, 1777, 2, LTS, VI
13.5, 265, 0, LTS, VI
14.3, 2828, 3, LTS, IV
16.9, 3299, 4, LTS, VI
17.1, 1028, 1, LTS, VI
17.9, 1793, 2, LTS, VI
18.1, 255, 0, LTS, VI
18.2, 250, 0, LTS, VI
19.3, 2545, 3, LTS, VI
19.4, 1160, 1, LTS, V
23.6, 1772, 2, LTS, VI
23.6, 1784, 2, LTS, VI
24.3, 2548, 3, LTS, VI
25.5, 1306, 1, LTS, IV
29, 3788, 4, LTS, III
32.1, 541, 0, LTS, IV
34.1, 2060, 2, LTS, IV
37.9, 2274, 2, LTS, III
40.6, 1514, 1, LTS, III
40.7, 3440, 4, LTS, V
41.6, 1025, 1, LTS, VI
42.7, 3306, 4, LTS, VI
42.8, 271, 0, LTS, VI
43, 1787, 2, LTS, VI
43.2, 398, 0, LTS, V
44, 2821, 3, LTS, IV
44.3, 3582, 4, LTS, IV
46.3, 1920, 2, LTS, V
47.6, 2538, 3, LTS, VI
48.3, 400, 0, LTS, V
48.6, 3444, 4, LTS, V
48.8, 1032, 1, LTS, VI
51, 1786, 2, LTS, VI
51.3, 545, 0, LTS, IV
52.7, 2533, 3, LTS, VI
53.4, 1919, 2, LTS, V
54.2, 1011, 1, LTS, VI
56.2, 744, 0, LTS, III
58.4, 107, 0, RS, VI
61.5, 2683, 3, LTS, V
64.1, 1783, 2, LTS, VI
65.8, 269, 0, LTS, VI
67.5, 3309, 4, LTS, VI
67.8, 1023, 1, LTS, VI
68.1, 1511, 1, LTS, III
69.5, 3442, 4, LTS, V
72.6, 1016, 1, LTS, VI
74.5, 1163, 1, LTS, V
75.4, 3315, 4, LTS, VI
76.6, 3589, 4, LTS, IV
83.9, 3325, 4, RS, V
85.9, 2687, 3, LTS, V
87.2, 584, 0, RS, III
87.2, 1513, 1, LTS, III
87.5, 1922, 2, LTS, V
88.6, 396, 0, LTS, V
88.6, 1846, 2, RS, V
91.2, 1299, 1, LTS, IV
91.2, 2883, 3, RS, III
91.6, 3580, 4, LTS, IV
91.8, 1789, 2, LTS, VI
95.6, 1776, 2, LTS, VI
97.6, 2279, 2, LTS, III
98.8, 3298, 4, LTS, VI
99.1, 2275, 2, LTS, III
100.7, 3036, 3, LTS, III
101.7, 1918, 2, LTS, V
102.4, 1784, 2, LTS, VI
103, 399, 0, LTS, V
103.9, 1195, 1, RS, IV
103.9, 1220, 1, RS, IV
104.2, 1222, 1, RS, IV
104.3, 470, 0, RS, IV
104.3, 1207, 1, RS, IV
104.3, 1254, 1, RS, IV
104.3, 1278, 1, RS, IV
104.5, 1255, 1, RS, IV
104.5, 1264, 1, RS, IV
104.6, 1147, 1, FS, V
104.6, 1198, 1, RS, IV
104.6, 1204, 1, RS, IV
104.6, 1272, 1, RS, IV
104.6, 1280, 1, RS, IV
104.7, 1138, 1, FS, V
104.7, 1221, 1, RS, IV
104.7, 1228, 1, RS, IV
104.7, 1231, 1, RS, IV
104.7, 1239, 1, RS, IV
104.7, 1287, 1, FS, IV
104.8, 1201, 1, RS, IV
104.8, 1236, 1, RS, IV
104.8, 1268, 1, RS, IV
104.9, 1193, 1, RS, IV
104.9, 1250, 1, RS, IV
104.9, 1260, 1, RS, IV
104.9, 1295, 1, FS, IV
105, 1217, 1, RS, IV
105, 1244, 1, RS, IV
105, 1249, 1, RS, IV
105.1, 1202, 1, RS, IV
105.1, 1212, 1, RS, IV
105.1, 1279, 1, RS, IV
105.2, 1208, 1, RS, IV
105.2, 1253, 1, RS, IV
105.2, 1258, 1, RS, IV
105.2, 1274, 1, RS, IV
105.3, 1216, 1, RS, IV
105.3, 1277, 1, RS, IV
105.3, 3797, 4, LTS, III
105.4, 450, 0, RS, IV
105.4, 1203, 1, RS, IV
105.4, 1227, 1, RS, IV
105.4, 1240, 1, RS, IV
105.4, 1270, 1, RS, IV
105.4, 1290, 1, FS, IV
105.4, 1293, 1, FS, IV
105.5, 507, 0, RS, IV
105.5, 1139, 1, FS, V
105.5, 1199, 1, RS, IV
105.5, 1205, 1, RS, IV
105.5, 1206, 1, RS, IV
105.5, 1213, 1, RS, IV
105.5, 1238, 1, RS, IV
105.5, 1243, 1, RS, IV
105.5, 1281, 1, RS, IV
105.5, 1286, 1, FS, IV
105.5, 1294, 1, FS, IV
105.6, 1194, 1, RS, IV
105.6, 1209, 1, RS, IV
105.6, 1245, 1, RS, IV
105.6, 1257, 1, RS, IV
105.7, 1214, 1, RS, IV
105.8, 1233, 1, RS, IV
105.8, 1234, 1, RS, IV
