11.3, 2540, 3, LTS, VI
12.5, 542, 0, LTS, IV
13.5, 1160, 1, LTS, V
14.5, 1298, 1, LTS, IV
14.8, 1301, 1, LTS, IV
16.9, 2279, 2, LTS, III
17.6, 393, 0, LTS, V
17.9, 1509, 1, LTS, III
24.1, 399, 0, LTS, V
24.5, 2821, 3, LTS, IV
24.8, 540, 0, LTS, IV
24.8, 3581, 4, LTS, IV
27, 3033, 3, LTS, III
27.7, 3031, 3, LTS, III
28.1, 2060, 2, LTS, IV
28.8, 755, 0, LTS, III
28.9, 2270, 2, LTS, III
31.1, 2682, 3, LTS, V
31.6, 3788, 4, LTS, III
32.3, 750, 0, LTS, III
36, 263, 0, LTS, VI
39.2, 2676, 3, LTS, V
39.9, 1779, 2, LTS, VI
42.9, 3582, 4, LTS, IV
43, 3301, 4, LTS, VI
43.5, 3793, 4, LTS, III
44.2, 1303, 1, LTS, IV
46.3, 748, 0, LTS, III
48.5, 3304, 4, LTS, VI
52.6, 2064, 2, LTS, IV
52.7, 1919, 2, LTS, V
54.9, 1518, 1, LTS, III
55.3, 402, 0, LTS, V
55.9, 757, 0, LTS, III
57.4, 257, 0, LTS, VI
57.6, 2825, 3, LTS, IV
59.2, 1511, 1, LTS, III
60.3, 3032, 3, LTS, III
62.4, 2553, 3, LTS, VI
67, 2272, 2, LTS, III
69.6, 2055, 2, LTS, IV
70.5, 3437, 4, LTS, V
71.5, 3586, 4, LTS, IV
71.7, 1163, 1, LTS, V
72.3, 3792, 4, LTS, III
73.5, 1018, 1, LTS, VI
74, 2541, 3, LTS, VI
82, 2281, 2, LTS, III
83.9, 3325, 4, RS, V
85.8, 390, 0, LTS, V
86, 584, 0, RS, III
89.7, 3580, 4, LTS, IV
90, 1299, 1, LTS, IV
91, 2277, 2, LTS, III
97.8, 2279, 2, LTS, III
98.1, 271, 0, LTS, VI
100.4, 880, 1, RS, VI
101.3, 399, 0, LTS, V
103.1, 3799, 4, LTS, III
103.7, 3577, 4, LTS, IV
103.9, 1195, 1, RS, IV
104, 1207, 1, RS, IV
104, 1220, 1, RS, IV
104.1, 1254, 1, RS, IV
104.2, 1222, 1, RS, IV
104.3, 470, 0, RS, IV
104.4, 1272, 1, RS, IV
104.4, 1278, 1, FS, IV
104.5, 1108, 1, FS, V
104.5, 1264, 1, RS, IV
104.6, 1147, 1, FS, V
104.6, 1217, 1, RS, IV
104.6, 1239, 1, RS, IV
104.6, 1268, 1, RS, IV
104.6, 1287, 1, FS, IV
104.7, 1198, 1, RS, IV
104.7, 1231, 1, RS, IV
104.7, 1255, 1, RS, IV
104.8, 1109, 1, FS, V
104.8, 1202, 1, RS, IV
104.8, 1204, 1, RS, IV
104.8, 1221, 1, RS, IV
104.8, 1249, 1, RS, IV
104.9, 1119, 1, FS, V
104.9, 1193, 1, RS, IV
104.9, 1236, 1, RS, IV
105, 1110, 1, FS, V
105, 1113, 1, FS, V
105, 1201, 1, RS, IV
105, 1244, 1, RS, IV
105, 1250, 1, RS, IV
105, 1253, 1, RS, IV
105, 1260, 1, RS, IV
105.1, 1115, 1, FS, V
105.1, 1212, 1, RS, IV
105.1, 1216, 1, RS, IV
105.1, 1228, 1, RS, IV
105.1, 1238, 1, RS, IV
105.1, 1293, 1, FS, IV
105.2, 1142, 1, FS, V
105.2, 1266, 1, RS, IV
105.2, 1274, 1, RS, IV
105.2, 1277, 1, RS, IV
105.3, 1114, 1, FS, V
105.3, 1203, 1, RS, IV
105.3, 1270, 1, RS, IV
105.3, 1280, 1, FS, IV
105.4, 450, 0, RS, IV
105.4, 1205, 1, RS, IV
105.4, 1213, 1, RS, IV
105.4, 1227, 1, RS, IV
105.4, 1243, 1, RS, IV
105.5, 507, 0, RS, IV
