0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,-1.62578
0.5,0,0,0
0.6,0,0,0
0.7,0,0,-1.99213
0.8,0,0,0
0.9,0,0,-0.24907
1,0,0,0
1.1,0,0,-1.71828
1.2,0,0,0
1.3,0,0,0
1.4,0,0,0
1.5,0,0,-6.20359
1.6,0,0,0
1.7,0,0,-1.25223
1.8,0,0,-11.16517
1.9,0,0,-6.92603
2,0,0,0
2.1,0,0,0
2.2,0,0,0
2.3,0,0,-9.89872
2.4,0,0,0
2.5,0,0,0
2.6,0,0,-6.38404
2.7,0,0,-3.24222
2.8,0,0,0
2.9,0,0,-5.30333
3,0,0,0
3.1,0,0,0
3.2,0,0,-6.34175
3.3,0,0,-3.60549
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,0,0,-0.10501
4.1,0,0,-0.46663
4.2,0,0,-4.70284
4.3,0,0,0
4.4,0,0,0
4.5,0,0,-8.92688
4.6,0,0,-7.83816
4.7,0,0,0
4.8,0,0,-3.87441
4.9,0,0,0
5,0,0,-11.08872
5.1,0,0,-17.02436
5.2,0,0,0
5.3,0,0,-6.96893
5.4,0,0,-4.36461
5.5,0,0,0
5.6,0,0,0
5.7,0,0,-14.19773
5.8,0,0,-6.91786
5.9,0,0,0
6,0,0,0
6.1,0,0,-3.61541
6.2,0,0,0
6.3,0,0,0
6.4,0,0,0
6.5,0,0,-1.62607
6.6,0,0,0
6.7,0,0,-5.17918
6.8,0,0,0
6.9,0,0,-3.19417
7,0,0,0
7.1,0,0,0
7.2,0,0,0
7.3,0,0,-4.50604
7.4,0,0,-4.23528
7.5,0,0,-10.77882
7.6,0,0,-4.26783
7.7,0,0,0
7.8,0,0,0
7.9,0,0,0
8,0,0,-7.72338
8.1,0,0,-7.30888
8.2,0,0,0
8.3,0,0,-11.85683
8.4,0,0,-8.18906
8.5,0,0,0
8.6,0,0,0
8.7,0,0,0
8.8,0,0,-0.762
8.9,0,0,0
9,0,0,0
9.1,0,0,-7.00457
9.2,0,0,-1.02343
9.3,0,0,0
9.4,0,0,0
9.5,0,0,-3.25233
9.6,0,0,-0.33716
9.7,0,0,-15.24366
9.8,0,0,0
9.9,0,0,0
10,0,0,0
10.1,0,0,0
10.2,0,0,0
10.3,0,0,0
10.4,0,0,-3.22192
10.5,0,0,0
10.6,0,0,-14.92349
10.7,0,0,0
10.8,0,0,-2.76755
10.9,0,0,-9.26056
11,0,0,-0.2441
11.1,0,0,0
11.2,0,0,-10.02738
11.3,0,0,0
