12.6, 1028, 1, LTS, VI
13.3, 1515, 1, LTS, III
14.1, 525, 0, LTS, IV
16.9, 1298, 1, LTS, IV
21.4, 2540, 3, LTS, VI
23.1, 1923, 2, LTS, V
23.4, 752, 0, LTS, III
24.3, 1790, 2, LTS, VI
24.6, 408, 0, LTS, V
25.3, 3569, 4, LTS, IV
28.7, 2691, 3, LTS, V
28.8, 3575, 4, LTS, IV
29.3, 1021, 1, LTS, VI
29.6, 2060, 2, LTS, IV
31.8, 267, 0, LTS, VI
32.8, 2821, 3, LTS, IV
33.3, 2274, 2, LTS, III
33.7, 405, 0, LTS, V
34.4, 3037, 3, LTS, III
34.9, 1290, 1, LTS, IV
35, 400, 0, LTS, V
35.2, 2826, 3, LTS, IV
36, 409, 0, LTS, V
37.2, 1167, 1, LTS, V
40.2, 542, 0, LTS, IV
42.2, 1780, 2, LTS, VI
43.2, 3582, 4, LTS, IV
43.9, 1292, 1, LTS, IV
43.9, 2282, 2, LTS, III
44, 261, 0, LTS, VI
44.1, 3444, 4, LTS, V
46.7, 3304, 4, LTS, VI
47.2, 1303, 1, LTS, IV
50.9, 401, 0, LTS, V
53.6, 2051, 2, LTS, IV
53.7, 2280, 2, LTS, III
57.1, 2553, 3, LTS, VI
59.2, 529, 0, LTS, IV
60.5, 1783, 2, LTS, VI
60.7, 2683, 3, LTS, V
61.2, 3576, 4, LTS, IV
61.9, 3804, 4, LTS, III
62.9, 269, 0, LTS, VI
66.3, 3311, 4, LTS, VI
66.4, 2055, 2, LTS, IV
67.2, 1286, 1, LTS, IV
68.8, 2541, 3, LTS, VI
69.1, 758, 0, LTS, III
72.9, 2817, 3, LTS, IV
74.9, 1295, 1, LTS, IV
75.3, 2825, 3, LTS, IV
75.4, 3437, 4, LTS, V
75.6, 543, 0, LTS, IV
76.4, 1163, 1, LTS, V
77, 1169, 1, LTS, V
79.1, 1792, 2, LTS, VI
83.1, 3798, 4, LTS, III
84.6, 2687, 3, LTS, V
85.6, 1513, 1, LTS, III
86.1, 584, 0, RS, III
86.9, 2883, 3, RS, III
87.4, 1789, 2, LTS, VI
87.9, 1922, 2, LTS, V
88.4, 3447, 4, LTS, V
89.6, 396, 0, LTS, V
90.5, 1299, 1, LTS, IV
92.6, 3041, 3, LTS, III
97.7, 1161, 1, LTS, V
99.2, 880, 1, RS, VI
104.1, 1220, 1, RS, IV
104.1, 3577, 4, LTS, IV
104.3, 1195, 1, RS, IV
104.4, 507, 0, FS, IV
104.5, 1207, 1, RS, IV
104.7, 522, 0, FS, IV
104.7, 1222, 1, RS, IV
104.7, 1254, 1, RS, IV
104.8, 1255, 1, RS, IV
104.9, 1198, 1, RS, IV
105, 1147, 1, FS, V
105.1, 1221, 1, RS, IV
105.1, 1231, 1, RS, IV
105.1, 1278, 1, FS, IV
105.2, 1201, 1, RS, IV
105.2, 1204, 1, RS, IV
105.2, 1239, 1, RS, IV
