10.9, 2056, 2, LTS, IV
11.9, 3313, 4, LTS, VI
12.7, 2282, 2, LTS, III
12.8, 1028, 1, LTS, VI
13.1, 1515, 1, LTS, III
13.9, 542, 0, LTS, IV
15, 1160, 1, LTS, V
15.4, 2817, 3, LTS, IV
16, 1521, 1, LTS, III
16.9, 2828, 3, LTS, IV
17.7, 1298, 1, LTS, IV
21.1, 2552, 3, LTS, VI
23.2, 1923, 2, LTS, V
23.8, 1027, 1, LTS, VI
27.3, 1306, 1, LTS, IV
27.8, 399, 0, LTS, V
32.2, 267, 0, LTS, VI
32.2, 3037, 3, LTS, III
33.6, 391, 0, LTS, V
33.8, 2277, 2, LTS, III
37.2, 3043, 3, LTS, III
37.5, 534, 0, LTS, IV
37.5, 758, 0, LTS, III
40.6, 3433, 4, LTS, V
41.6, 1514, 1, LTS, III
42.3, 2674, 3, LTS, V
42.6, 3578, 4, LTS, IV
44.5, 1303, 1, LTS, IV
48.3, 1030, 1, LTS, VI
50.9, 401, 0, LTS, V
52, 545, 0, LTS, IV
53.3, 2280, 2, LTS, III
55, 3800, 4, LTS, III
56.7, 2825, 3, LTS, IV
57, 402, 0, LTS, V
58.1, 3804, 4, LTS, III
58.7, 403, 0, LTS, V
60.2, 269, 0, LTS, VI
63.7, 2686, 3, LTS, V
66, 2055, 2, LTS, IV
70.1, 3586, 4, LTS, IV
70.3, 1295, 1, LTS, IV
71.9, 1519, 1, LTS, III
72.3, 1163, 1, LTS, V
73.2, 390, 0, LTS, V
75.3, 1512, 1, LTS, III
76.8, 3437, 4, LTS, V
77.6, 3589, 4, LTS, IV
78.5, 1925, 2, LTS, V
81.1, 1516, 1, LTS, III
82, 3798, 4, LTS, III
84.1, 2687, 3, LTS, V
86.2, 2883, 3, RS, III
86.4, 3447, 4, LTS, V
87.7, 1789, 2, LTS, VI
87.8, 584, 0, RS, III
88.5, 1846, 2, RS, V
89.8, 386, 0, LTS, V
89.8, 3041, 3, LTS, III
91, 271, 0, LTS, VI
93.6, 3580, 4, LTS, IV
101.1, 1791, 2, LTS, VI
101.5, 3036, 3, LTS, III
103, 1195, 1, RS, IV
103, 1207, 1, RS, IV
103, 1220, 1, RS, IV
103.1, 1254, 1, RS, IV
103.2, 1217, 1, RS, IV
103.2, 1222, 1, RS, IV
103.2, 1228, 1, RS, IV
103.2, 1280, 1, FS, IV
103.3, 1130, 1, FS, V
103.3, 1208, 1, RS, IV
103.3, 1231, 1, RS, IV
103.3, 1238, 1, RS, IV
103.3, 1239, 1, RS, IV
103.3, 1250, 1, RS, IV
103.3, 1264, 1, RS, IV
103.3, 1278, 1, FS, IV
103.3, 1287, 1, FS, IV
103.4, 1114, 1, FS, V
103.4, 1193, 1, RS, IV
103.4, 1194, 1, RS, IV
103.4, 1198, 1, RS, IV
103.4, 1202, 1, RS, IV
103.4, 1204, 1, RS, IV
103.4, 1205, 1, RS, IV
103.4, 1221, 1, RS, IV
103.4, 1225, 1, RS, IV
103.4, 1236, 1, RS, IV
103.4, 1255, 1, RS, IV
103.4, 1258, 1, RS, IV
103.4, 1268, 1, FS, IV
103.4, 1272, 1, FS, IV
103.4, 3799, 4, LTS, III
103.5, 470, 0, RS, IV
103.5, 1138, 1, FS, V
103.5, 1201, 1, RS, IV
103.5, 1212, 1, RS, IV
103.5, 1230, 1, RS, IV
103.5, 1233, 1, RS, IV
103.5, 1266, 1, FS, IV
103.6, 1110, 1, FS, V
103.6, 1113, 1, FS, V
103.6, 1115, 1, FS, V
103.6, 1124, 1, FS, V
103.6, 1139, 1, FS, V
103.6, 1142, 1, FS, V
103.6, 1199, 1, RS, IV
103.6, 1203, 1, RS, IV
103.6, 1216, 1, RS, IV
103.6, 1218, 1, RS, IV
103.6, 1243, 1, RS, IV
103.6, 1244, 1, RS, IV
103.6, 1245, 1, RS, IV
103.6, 1249, 1, RS, IV
103.6, 1253, 1, RS, IV
103.6, 1259, 1, RS, IV
103.6, 1260, 1, RS, IV
103.6, 1279, 1, FS, IV
103.6, 1286, 1, FS, IV
103.7, 1119, 1, FS, V
103.7, 1120, 1, FS, V
103.7, 1196, 1, RS, IV
