0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,-4.979319,0,-6.585022,0,0,0,-7.796515,-3.789351
0.2,-7.784916,-9.326544,0,0,-7.028146,0,0,-2.734809,0,-1.683976
0.3,-4.180128,-7.323908,0,0,-1.472974,0,-6.311507,0,0,-1.253046
0.4,-11.222621,-5.785661,-6.231351,0,0,0,-4.355852,-5.709655,-0.38168,-10.476173
0.5,0,-20.386983,0,-0.010863,-2.207577,0,0,0,-5.50676,-0.417034
0.6,-8.651755,0,0,0,-11.313524,0,0,0,0,-8.82549
0.7,-3.687985,-13.686805,0,-1.309615,-9.204939,-3.877126,-3.063548,-13.34932,-1.605326,0
0.8,0,-3.332132,-8.555345,-2.291905,0,0,-11.417562,0,-1.887749,0
0.9,-2.212067,0,0,-1.101722,-4.128146,-7.698353,0,0,-0.08939,-12.01892
1,-0.117833,-15.347778,-6.770588,0,-5.008353,0,-0.595967,-0.386419,0,0
1.1,0,0,0,0,-10.092485,0,-3.524519,0,0,0
1.2,-8.132581,-11.10267,0,0,-1.146897,-15.435448,-19.03428,-0.804819,0,-3.840213
1.3,-11.275757,-6.500258,-11.867038,-11.167332,-2.373057,0,-7.69886,-17.697968,0,0
1.4,0,0,0,0,-0.773158,0,0,0,0,0
1.5,0,0,-0.964324,-2.465975,-0.968885,-9.611404,-5.66903,0,-0.455836,-2.193336
1.6,-2.323382,-4.410513,0,0,-9.508268,-6.636178,-3.923496,-7.924671,-0.791349,0
1.7,-2.685703,-3.171939,0,-7.940851,0,-11.394967,0,0,-6.967882,0
1.8,0,0,0,0,0,0,0,-13.134821,0,-6.737824
1.9,0,-5.851443,0,-9.04257,0,0,-2.507239,0,0,-15.090483
2,0,0,0,-18.454494,0,-8.465697,-6.191038,-2.139418,-8.574263,-12.799453
2.1,-6.724273,-2.956756,0,-4.290659,-14.973124,-4.20156,-6.185653,-8.174102,0,-5.521903
2.2,0,-11.562535,0,-2.291121,-1.469401,0,-2.137679,-1.358801,-10.722392,0
2.3,0,-17.936534,-6.172998,0,-5.207891,-9.660253,-10.57117,0,0,0
2.4,-1.346643,0,-17.301883,0,0,-3.521253,-11.30343,0,0,-7.319242
2.5,0,-2.701067,0,-8.083347,-0.091494,0,-0.336755,0,-0.121264,0
2.6,-0.685018,-9.7617,0,-1.793906,-8.766908,-8.399919,-2.326181,-6.219822,0,-12.172136
2.7,-6.210232,-3.977689,0,-13.283625,-1.28238,0,-5.57989,-3.732425,0,-2.418009
2.8,0,-0.195298,0,0,0,-12.830688,-1.727704,0,0,0
2.9,0,0,0,0,0,-10.304869,-10.419218,-5.180476,0,-15.252568
3,-1.76967,0,0,0,-4.456592,0,0,-3.84241,0,0
3.1,-6.402762,-4.676124,0,-5.275888,-0.452969,-4.710045,0,0,0,0
3.2,0,-0.149027,-2.211755,-3.606824,-4.231963,0,0,-2.610965,0,0
3.3,0,0,-1.101309,-2.501406,0,-17.537812,-4.787091,-6.890976,0,0
