15.5, 3033, 3, LTS, III
17.5, 2282, 2, LTS, III
18.8, 1506, 1, LTS, III
20.8, 1510, 1, LTS, III
48.8, 2281, 2, LTS, III
53.3, 704, 0, RS, III
56.2, 744, 0, LTS, III
58.9, 3804, 4, LTS, III
64.1, 758, 0, LTS, III
65.4, 3014, 3, FS, III
72.7, 746, 0, LTS, III
84.9, 749, 0, LTS, III
85.6, 3788, 4, LTS, III
90.6, 745, 0, LTS, III
91, 3029, 3, LTS, III
92.7, 2266, 2, LTS, III
93.4, 1511, 1, LTS, III
93.4, 3041, 3, LTS, III
109.9, 2268, 2, LTS, III
120.9, 2282, 2, LTS, III
122.2, 760, 0, LTS, III
128.3, 2854, 3, RS, III
133.4, 3032, 3, LTS, III
137.9, 1521, 1, LTS, III
140.4, 759, 0, LTS, III
152, 2094, 2, RS, III
153.8, 3043, 3, LTS, III
155.8, 1406, 1, RS, III
162, 2185, 2, RS, III
165.3, 1507, 1, LTS, III
166.7, 2264, 2, LTS, III
177, 2090, 2, RS, III
209.2, 749, 0, LTS, III
209.5, 2271, 2, LTS, III
215.2, 3591, 4, RS, III
217.5, 3793, 4, LTS, III
221, 742, 0, LTS, III
224.3, 3792, 4, LTS, III
226.1, 3040, 3, LTS, III
230, 3802, 4, LTS, III
230.1, 1340, 1, RS, III
232, 3028, 3, LTS, III
241.4, 1505, 1, LTS, III
242.3, 3804, 4, LTS, III
244.8, 3788, 4, LTS, III
245.5, 2280, 2, LTS, III
256, 2987, 3, RS, III
273.4, 3794, 4, LTS, III
283, 744, 0, LTS, III
301.9, 1472, 1, RS, III
302, 1315, 1, RS, III
302, 1316, 1, RS, III
302, 1345, 1, RS, III
302, 1350, 1, RS, III
302, 1355, 1, RS, III
302, 1403, 1, RS, III
302, 1426, 1, RS, III
302, 1471, 1, RS, III
302.1, 1308, 1, RS, III
302.1, 1312, 1, RS, III
302.1, 1313, 1, RS, III
302.1, 1317, 1, RS, III
302.1, 1319, 1, RS, III
302.1, 1320, 1, RS, III
302.1, 1325, 1, RS, III
302.1, 1332, 1, RS, III
302.1, 1340, 1, RS, III
302.1, 1342, 1, RS, III
302.1, 1347, 1, RS, III
302.1, 1360, 1, RS, III
302.1, 1368, 1, RS, III
302.1, 1371, 1, RS, III
302.1, 1379, 1, RS, III
302.1, 1412, 1, RS, III
302.1, 1413, 1, RS, III
302.1, 1416, 1, RS, III
302.1, 1433, 1, RS, III
302.1, 1439, 1, RS, III
302.1, 1443, 1, RS, III
302.1, 1459, 1, RS, III
302.1, 1465, 1, RS, III
302.1, 1466, 1, RS, III
305.1, 750, 0, LTS, III
307.4, 1482, 1, FS, III
307.7, 1315, 1, RS, III
307.7, 1403, 1, RS, III
307.8, 1484, 1, FS, III
307.8, 3618, 4, RS, III
307.9, 1350, 1, RS, III
307.9, 1355, 1, RS, III
307.9, 1416, 1, RS, III
308, 1313, 1, RS, III
308, 1342, 1, RS, III
308, 1426, 1, RS, III
308, 1466, 1, RS, III
308.1, 1345, 1, RS, III
308.1, 1433, 1, RS, III
308.1, 1471, 1, RS, III
308.3, 1339, 1, RS, III
308.3, 1368, 1, RS, III
308.3, 1498, 1, FS, III
308.4, 1320, 1, RS, III
308.5, 1316, 1, RS, III
308.5, 1332, 1, RS, III
308.5, 1340, 1, RS, III
308.5, 1371, 1, RS, III
308.5, 1413, 1, RS, III
308.5, 1439, 1, RS, III
308.5, 1472, 1, RS, III
308.6, 1308, 1, RS, III
308.6, 1317, 1, RS, III
308.6, 1347, 1, RS, III
308.6, 1443, 1, RS, III
308.6, 1459, 1, RS, III
308.6, 1487, 1, FS, III
308.6, 1499, 1, FS, III
308.7, 1319, 1, RS, III
308.7, 1360, 1, RS, III
308.7, 1387, 1, RS, III
308.7, 1412, 1, RS, III
308.8, 1465, 1, RS, III
308.9, 1453, 1, RS, III
308.9, 1509, 1, LTS, III
309, 1312, 1, RS, III
309, 1325, 1, RS, III
309, 1379, 1, RS, III
309, 1408, 1, RS, III
309, 2244, 2, FS, III
309.2, 1490, 1, FS, III
309.4, 1456, 1, RS, III
309.5, 1410, 1, RS, III
309.8, 1365, 1, RS, III
309.9, 1419, 1, RS, III
310, 1448, 1, RS, III
310, 1452, 1, RS, III
310.2, 1321, 1, RS, III
310.3, 1441, 1, RS, III
310.5, 1478, 1, FS, III
310.6, 1398, 1, RS, III
