12.5, 2681, 3, LTS, V
12.6, 3306, 4, LTS, VI
12.9, 255, 0, LTS, VI
14.7, 264, 0, LTS, VI
15.5, 1159, 1, LTS, V
15.7, 2533, 3, LTS, VI
18.7, 3294, 4, LTS, VI
20.8, 1161, 1, LTS, V
22.4, 3308, 4, LTS, VI
23, 2822, 3, LTS, IV
24.5, 260, 0, LTS, VI
28.7, 2683, 3, LTS, V
29.4, 1157, 1, LTS, V
36.6, 3583, 4, LTS, IV
38.5, 262, 0, LTS, VI
39.3, 250, 0, LTS, VI
39.6, 2547, 3, LTS, VI
39.7, 541, 0, LTS, IV
40.6, 1299, 1, LTS, IV
41.1, 267, 0, LTS, VI
47.9, 3446, 4, LTS, V
48.6, 2543, 3, LTS, VI
49, 398, 0, LTS, V
51.5, 3043, 3, LTS, III
52.6, 1028, 1, LTS, VI
55.7, 3315, 4, LTS, VI
56.6, 749, 0, LTS, III
58.7, 538, 0, LTS, IV
60.6, 753, 0, LTS, III
61.9, 1513, 1, LTS, III
63.2, 3442, 4, LTS, V
65, 1302, 1, LTS, IV
65.3, 1030, 1, LTS, VI
67.1, 3585, 4, LTS, IV
68.4, 752, 0, LTS, III
75.4, 1158, 1, LTS, V
75.7, 2679, 3, LTS, V
77.6, 2545, 3, LTS, VI
83.1, 257, 0, LTS, VI
91.3, 3444, 4, LTS, V
92.7, 1023, 1, LTS, VI
92.7, 1163, 1, LTS, V
93.1, 402, 0, LTS, V
93.9, 2554, 3, LTS, VI
94.4, 3797, 4, LTS, III
95.6, 1306, 1, LTS, IV
99.6, 3441, 4, LTS, V
101.4, 537, 0, LTS, IV
103.6, 1198, 1, RS, IV
104, 1210, 1, RS, IV
104, 1229, 1, RS, IV
104.4, 1221, 1, RS, IV
104.5, 1232, 1, RS, IV
104.5, 1256, 1, RS, IV
104.6, 1245, 1, RS, IV
104.6, 1247, 1, RS, IV
104.6, 1249, 1, RS, IV
104.7, 1193, 1, RS, IV
104.7, 1276, 1, RS, IV
104.9, 1234, 1, RS, IV
104.9, 1253, 1, RS, IV
104.9, 1278, 1, RS, IV
105, 1201, 1, RS, IV
105, 1292, 1, FS, IV
105, 3607, 4, RS, III
105.1, 1226, 1, RS, IV
105.1, 1271, 1, RS, IV
105.1, 1288, 1, FS, IV
105.2, 1143, 1, FS, V
105.2, 1233, 1, RS, IV
105.2, 1257, 1, RS, IV
105.2, 1262, 1, RS, IV
105.3, 1196, 1, RS, IV
105.3, 1197, 1, RS, IV
105.3, 1244, 1, RS, IV
105.3, 1251, 1, RS, IV
105.3, 1270, 1, RS, IV
105.4, 1203, 1, RS, IV
105.4, 1212, 1, RS, IV
105.4, 1216, 1, RS, IV
105.4, 1237, 1, RS, IV
105.4, 1240, 1, RS, IV
105.4, 1241, 1, RS, IV
105.4, 1243, 1, RS, IV
105.4, 1263, 1, RS, IV
105.4, 1264, 1, RS, IV
105.4, 1267, 1, RS, IV
105.5, 1211, 1, RS, IV
105.5, 1224, 1, RS, IV
105.5, 1252, 1, RS, IV
105.6, 1200, 1, RS, IV
105.6, 1206, 1, RS, IV
105.6, 1254, 1, RS, IV
105.7, 1213, 1, RS, IV
105.7, 1222, 1, RS, IV
105.7, 1266, 1, RS, IV
105.7, 1296, 1, FS, IV
105.8, 1228, 1, RS, IV
105.8, 1269, 1, RS, IV
105.8, 1277, 1, RS, IV
105.8, 1295, 1, FS, IV
105.9, 1220, 1, RS, IV
105.9, 1236, 1, RS, IV
105.9, 1258, 1, RS, IV
106, 1149, 1, FS, V
106, 1217, 1, RS, IV
106, 1230, 1, RS, IV
106, 1255, 1, RS, IV
106, 1279, 1, RS, IV
106, 1281, 1, RS, IV
106, 1290, 1, FS, IV
106.1, 1194, 1, RS, IV
106.1, 1204, 1, RS, IV
106.1, 1207, 1, RS, IV
106.1, 1214, 1, RS, IV
106.1, 1218, 1, RS, IV
106.1, 1265, 1, RS, IV
106.1, 1273, 1, RS, IV
106.2, 504, 0, RS, IV
106.2, 1259, 1, RS, IV
106.2, 1286, 1, FS, IV
106.3, 1231, 1, RS, IV
106.3, 1238, 1, RS, IV
106.3, 1284, 1, FS, IV
106.4, 1148, 1, FS, V
106.4, 1282, 1, RS, IV
106.5, 1289, 1, FS, IV
106.5, 1293, 1, FS, IV
106.6, 1147, 1, FS, V
106.6, 1287, 1, FS, IV
106.7, 1141, 1, FS, V
106.7, 1150, 1, FS, V
106.7, 1202, 1, RS, IV
106.7, 1208, 1, RS, IV
106.7, 1215, 1, RS, IV
106.7, 1239, 1, RS, IV
106.7, 1261, 1, RS, IV
106.8, 434, 0, RS, IV
106.8, 1199, 1, RS, IV
106.8, 1235, 1, RS, IV
106.8, 1246, 1, RS, IV
106.8, 1285, 1, FS, IV
106.9, 1125, 1, FS, V
106.9, 1225, 1, RS, IV
106.9, 1283, 1, FS, IV
106.9, 3308, 4, LTS, VI
107, 1205, 1, RS, IV
107, 1209, 1, RS, IV
107, 1223, 1, RS, IV
107.1, 1131, 1, FS, V
107.1, 1195, 1, RS, IV
107.1, 1291, 1, FS, IV
107.1, 1294, 1, FS, IV
107.2, 1227, 1, RS, IV
107.3, 1138, 1, FS, V
107.4, 505, 0, RS, IV
107.4, 1274, 1, RS, IV
107.4, 1275, 1, RS, IV
107.6, 1135, 1, FS, V
107.6, 1248, 1, RS, IV
107.7, 1280, 1, RS, IV
107.8, 1250, 1, RS, IV
107.9, 1146, 1, FS, V
107.9, 1219, 1, RS, IV
107.9, 1242, 1, RS, IV
107.9, 1260, 1, RS, IV
107.9, 1292, 1, FS, IV
108, 1268, 1, RS, IV
108, 1288, 1, FS, IV
108.2, 534, 0, FS, IV
108.2, 1272, 1, RS, IV
108.4, 530, 0, FS, IV
108.4, 1140, 1, FS, V
108.5, 517, 0, RS, IV
108.5, 1128, 1, FS, V
108.6, 525, 0, FS, IV
108.6, 1296, 1, FS, IV
108.6, 1366, 1, RS, III
108.7, 1295, 1, FS, IV
108.7, 1395, 1, RS, III
108.8, 522, 0, FS, IV
108.8, 524, 0, FS, IV
108.8, 1122, 1, FS, V
108.9, 528, 0, FS, IV
108.9, 1290, 1, FS, IV
108.9, 1440, 1, RS, III
108.9, 1483, 1, FS, III
109, 1298, 1, LTS, IV
109, 1428, 1, RS, III
109.1, 452, 0, RS, IV
109.1, 526, 0, FS, IV
109.1, 531, 0, FS, IV
109.1, 532, 0, FS, IV
109.1, 535, 0, FS, IV
109.1, 1286, 1, FS, IV
109.2, 533, 0, FS, IV
109.2, 1130, 1, FS, V
109.2, 1284, 1, FS, IV
109.2, 1301, 1, LTS, IV
109.2, 1372, 1, RS, III
109.2, 1399, 1, RS, III
109.2, 1446, 1, RS, III
109.2, 1472, 1, RS, III
109.3, 480, 0, RS, IV
109.3, 523, 0, FS, IV
109.3, 1303, 1, LTS, IV
109.3, 1319, 1, RS, III
109.3, 1357, 1, RS, III
109.3, 1382, 1, RS, III
109.3, 1387, 1, RS, III
109.3, 1391, 1, RS, III
109.3, 1404, 1, RS, III
109.3, 1460, 1, RS, III
109.3, 1470, 1, RS, III
109.3, 1478, 1, FS, III
109.3, 1499, 1, FS, III
109.4, 527, 0, FS, IV
109.4, 529, 0, FS, IV
109.4, 1289, 1, FS, IV
109.4, 1293, 1, FS, IV
109.4, 1297, 1, LTS, IV
109.4, 1314, 1, RS, III
109.4, 1355, 1, RS, III
109.4, 1375, 1, RS, III
109.4, 1394, 1, RS, III
109.4, 1408, 1, RS, III
109.4, 1480, 1, FS, III
109.4, 1489, 1, FS, III
109.5, 507, 0, RS, IV
109.5, 1133, 1, FS, V
109.5, 1287, 1, FS, IV
109.5, 1311, 1, RS, III
109.5, 1317, 1, RS, III
109.5, 1328, 1, RS, III
109.5, 1338, 1, RS, III
109.5, 1348, 1, RS, III
109.5, 1367, 1, RS, III
109.5, 1388, 1, RS, III
109.5, 1405, 1, RS, III
109.5, 1412, 1, RS, III
109.5, 1442, 1, RS, III
109.5, 1481, 1, FS, III
109.5, 1486, 1, FS, III
109.5, 1495, 1, FS, III
109.6, 1300, 1, LTS, IV
109.6, 1337, 1, RS, III
109.6, 1402, 1, RS, III
109.6, 1421, 1, RS, III
109.6, 1435, 1, RS, III
109.6, 1451, 1, RS, III
109.6, 1484, 1, FS, III
109.6, 1494, 1, FS, III
109.7, 445, 0, RS, IV
109.7, 1285, 1, FS, IV
109.7, 1331, 1, RS, III
109.7, 1344, 1, RS, III
109.7, 1418, 1, RS, III
109.7, 1430, 1, RS, III
109.7, 1431, 1, RS, III
109.7, 1437, 1, RS, III
109.7, 1439, 1, RS, III
109.7, 1459, 1, RS, III
109.7, 1462, 1, RS, III
109.7, 1468, 1, RS, III
109.7, 1476, 1, RS, III
109.7, 1487, 1, FS, III
109.7, 1491, 1, FS, III
109.7, 1497, 1, FS, III
109.7, 1498, 1, FS, III
109.8, 474, 0, RS, IV
109.8, 1283, 1, FS, IV
109.8, 1308, 1, RS, III
109.8, 1315, 1, RS, III
109.8, 1323, 1, RS, III
109.8, 1332, 1, RS, III
109.8, 1346, 1, RS, III
109.8, 1364, 1, RS, III
109.8, 1384, 1, RS, III
109.8, 1396, 1, RS, III
109.8, 1401, 1, RS, III
109.8, 1406, 1, RS, III
109.8, 1414, 1, RS, III
109.8, 1417, 1, RS, III
109.8, 1488, 1, FS, III
109.9, 1299, 1, LTS, IV
109.9, 1305, 1, LTS, IV
109.9, 1316, 1, RS, III
109.9, 1330, 1, RS, III
109.9, 1333, 1, RS, III
109.9, 1335, 1, RS, III
109.9, 1341, 1, RS, III
109.9, 1353, 1, RS, III
109.9, 1361, 1, RS, III
